h;rhc
0.104571;1.16576
0.0508333;1.17017
0.0338889;1.17097
0.0252414;1.1712
0.020221;1.17133
0.016789;1.1714
0.0143529;1.17144
0.0125773;1.17146
0.0111585;1.17148
0.0100549;1.17149
