x;u(x);du(x);ddu(x);p(x);q(x);f(x);fc(x)
59.697;3.30773e-05;-0.00987317;1.47346;2.39944;3.11785;-3.52983;-361.686;
59.6971;3.4072e-05;-0.0100205;1.47346;2.39956;3.11746;-3.52992;-361.685;
59.6972;3.50815e-05;-0.0101679;1.47346;2.39968;3.11706;-3.53002;-361.684;
59.6973;3.61057e-05;-0.0103152;1.47345;2.39981;3.11667;-3.53011;-361.683;
59.6974;3.71447e-05;-0.0104626;1.47345;2.39993;3.11627;-3.53021;-361.682;
59.6975;3.81983e-05;-0.0106099;1.47345;2.40005;3.11587;-3.5303;-361.681;
59.6976;3.92668e-05;-0.0107573;1.47344;2.40017;3.11548;-3.5304;-361.68;
59.6977;4.03499e-05;-0.0109046;1.47344;2.40029;3.11508;-3.53049;-361.68;
59.6978;4.14478e-05;-0.011052;1.47344;2.40042;3.11469;-3.53059;-361.679;
59.6979;4.25604e-05;-0.0111993;1.47343;2.40054;3.11429;-3.53068;-361.678;
59.698;4.36878e-05;-0.0113467;1.47343;2.40066;3.1139;-3.53078;-361.677;
59.6981;4.48299e-05;-0.011494;1.47343;2.40078;3.1135;-3.53087;-361.675;
59.6982;4.59867e-05;-0.0116414;1.47342;2.4009;3.11311;-3.53097;-361.674;
59.6983;4.71583e-05;-0.0117887;1.47342;2.40102;3.11271;-3.53106;-361.673;
59.6984;4.83446e-05;-0.0119361;1.47342;2.40114;3.11232;-3.53116;-361.672;
59.6985;4.95457e-05;-0.0120834;1.47341;2.40127;3.11192;-3.53125;-361.671;
59.6986;5.07614e-05;-0.0122308;1.47341;2.40139;3.11153;-3.53135;-361.67;
59.6987;5.19919e-05;-0.0123781;1.47341;2.40151;3.11114;-3.53144;-361.669;
59.6988;5.32372e-05;-0.0125255;1.4734;2.40163;3.11074;-3.53154;-361.668;
59.6989;5.44972e-05;-0.0126728;1.4734;2.40175;3.11035;-3.53163;-361.667;
59.699;5.57719e-05;-0.0128202;1.47339;2.40187;3.10995;-3.53173;-361.666;
59.6991;5.70614e-05;-0.0129675;1.47339;2.40199;3.10956;-3.53182;-361.665;
59.6992;5.83656e-05;-0.0131149;1.47339;2.40211;3.10916;-3.53191;-361.663;
59.6993;5.96845e-05;-0.0132622;1.47338;2.40223;3.10877;-3.53201;-361.662;
59.6994;6.10181e-05;-0.0134096;1.47338;2.40235;3.10838;-3.5321;-361.661;
59.6995;6.23665e-05;-0.0135569;1.47338;2.40247;3.10798;-3.5322;-361.66;
59.6996;6.37297e-05;-0.0137043;1.47337;2.40259;3.10759;-3.53229;-361.659;
59.6997;6.51075e-05;-0.0138516;1.47337;2.40271;3.10719;-3.53239;-361.657;
59.6998;6.65001e-05;-0.013999;1.47336;2.40283;3.1068;-3.53248;-361.656;
59.6999;6.79075e-05;-0.0141463;1.47336;2.40295;3.10641;-3.53258;-361.655;
59.7;6.93296e-05;-0.0142936;1.47335;2.40307;3.10601;-3.53267;-361.653;
59.7001;7.07664e-05;-0.014441;1.47335;2.40319;3.10562;-3.53276;-361.652;
59.7002;7.22179e-05;-0.0145883;1.47335;2.40331;3.10522;-3.53286;-361.651;
59.7003;7.36842e-05;-0.0147357;1.47334;2.40343;3.10483;-3.53295;-361.65;
59.7004;7.51652e-05;-0.014883;1.47334;2.40355;3.10444;-3.53305;-361.648;
59.7005;7.6661e-05;-0.0150304;1.47333;2.40367;3.10404;-3.53314;-361.647;
59.7006;7.81715e-05;-0.0151777;1.47333;2.40379;3.10365;-3.53323;-361.646;
59.7007;7.96967e-05;-0.015325;1.47332;2.40391;3.10326;-3.53333;-361.644;
59.7008;8.12366e-05;-0.0154724;1.47332;2.40403;3.10286;-3.53342;-361.643;
59.7009;8.27913e-05;-0.0156197;1.47332;2.40415;3.10247;-3.53352;-361.641;
59.701;8.43607e-05;-0.0157671;1.47331;2.40427;3.10208;-3.53361;-361.64;
59.7011;8.59449e-05;-0.0159144;1.47331;2.40439;3.10168;-3.5337;-361.639;
59.7012;8.75438e-05;-0.0160617;1.4733;2.40451;3.10129;-3.5338;-361.637;
59.7013;8.91574e-05;-0.0162091;1.4733;2.40462;3.1009;-3.53389;-361.636;
59.7014;9.07858e-05;-0.0163564;1.47329;2.40474;3.10051;-3.53399;-361.634;
59.7015;9.24289e-05;-0.0165037;1.47329;2.40486;3.10011;-3.53408;-361.633;
59.7016;9.40867e-05;-0.0166511;1.47328;2.40498;3.09972;-3.53417;-361.631;
59.7017;9.57593e-05;-0.0167984;1.47328;2.4051;3.09933;-3.53427;-361.63;
59.7018;9.74466e-05;-0.0169458;1.47327;2.40522;3.09894;-3.53436;-361.628;
59.7019;9.91486e-05;-0.0170931;1.47327;2.40534;3.09854;-3.53446;-361.627;
59.702;0.000100865;-0.0172404;1.47326;2.40545;3.09815;-3.53455;-361.625;
59.7021;0.000102597;-0.0173878;1.47326;2.40557;3.09776;-3.53464;-361.624;
59.7022;0.000104343;-0.0175351;1.47325;2.40569;3.09737;-3.53474;-361.622;
59.7023;0.000106104;-0.0176824;1.47325;2.40581;3.09697;-3.53483;-361.62;
59.7024;0.00010788;-0.0178298;1.47324;2.40593;3.09658;-3.53492;-361.619;
59.7025;0.00010967;-0.0179771;1.47324;2.40604;3.09619;-3.53502;-361.617;
59.7026;0.000111475;-0.0181244;1.47323;2.40616;3.0958;-3.53511;-361.616;
